Species List,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
American Kestrel,2,2,0,2,0,1,4,3,1,2,0,3,1,0,0,0,1,0,0,0,1,0,0,0,4,0,1,0,1,2,0,2,0,2,2,0,1,3,1,3,1,1,1,1,2,2,0,2,0,2,4,0,1
Great Crested Flycatcher,130,101,102,76,88,150,178,146,111,127,79,134,143,90,91,79,115,141,116,121,146,134,174,145,282,255,336,327,459,455,442,464,491,455,530,588,646,627,633,608,744,656,676,548,659,733,820,879,839,904,818,868,732
Eastern Kingbird,100,73,75,77,79,115,79,119,60,70,50,54,59,38,71,60,83,71,67,54,85,70,76,82,131,151,192,124,171,186,167,166,181,230,207,258,277,290,314,244,313,279,303,261,344,412,374,351,352,329,299,328,413
Scissor-tailed Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Olive-sided Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Wood-Pewee,106,107,137,128,101,149,140,104,113,124,177,217,167,158,169,115,110,153,157,135,182,159,181,115,258,321,304,322,439,439,406,398,371,333,383,471,526,510,471,472,505,437,380,349,391,500,389,371,370,376,410,403,382
Acadian Flycatcher,13,16,44,48,36,41,54,61,51,66,64,83,97,63,76,59,61,57,96,62,117,96,123,96,155,186,181,244,347,354,330,311,274,263,295,340,352,379,296,341,357,262,258,252,281,347,353,348,360,388,342,335,310
Alder Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Willow Flycatcher,0,0,1,1,0,1,1,3,1,3,0,1,2,2,3,0,0,0,0,0,1,1,2,3,6,1,0,0,2,2,4,4,8,4,8,2,11,7,2,3,1,2,4,4,2,5,6,6,5,2,3,3,7
Least Flycatcher,0,0,1,0,0,0,0,0,6,7,11,11,9,12,9,0,0,0,0,0,0,1,0,3,2,7,7,4,10,19,12,9,10,15,11,10,7,9,7,6,4,7,4,6,3,6,7,8,5,4,13,5,1
